dim,deg,parallel_depth,max_cpu,avg_time
2,2,5,10,0.012753725051879883
2,2,5,12,0.011695599555969239
2,2,5,14,0.013776135444641114
2,2,5,16,0.013420581817626953
2,2,5,18,0.011810803413391113
2,2,5,20,0.011336994171142579
2,2,5,22,0.012119174003601074
2,2,5,24,0.01630833148956299
2,2,5,26,0.013099479675292968
2,2,5,28,0.012804126739501953
2,2,5,30,0.011374998092651366
2,2,5,32,0.010582447052001953
2,2,5,34,0.013699531555175781
2,2,5,36,0.01244959831237793
2,2,5,38,0.015626358985900878
2,2,5,40,0.014602231979370116
2,2,6,2,0.010771989822387695
2,2,6,4,0.010872387886047363
2,2,6,6,0.012739992141723633
2,2,6,8,0.014291477203369141
2,2,6,10,0.014362382888793945
2,2,6,12,0.012380671501159669
2,2,6,14,0.012857770919799805
2,2,6,16,0.012499380111694335
2,2,6,18,0.013902378082275391
2,2,6,20,0.011372756958007813
2,2,6,22,0.01354985237121582
2,2,6,24,0.014272117614746093
2,2,6,26,0.014151167869567872
2,2,6,28,0.012821578979492187
2,2,6,30,0.015241742134094238
2,2,6,32,0.01379096508026123
2,2,6,34,0.011641740798950195
2,2,6,36,0.012204575538635253
2,2,6,38,0.011750054359436036
2,2,6,40,0.012050127983093262
2,2,7,2,0.013196110725402832
2,2,7,4,0.01276540756225586
2,2,7,6,0.015003013610839843
2,2,7,8,0.013841462135314942
2,2,7,10,0.01303703784942627
2,2,7,12,0.01095113754272461
2,2,7,14,0.012844300270080567
2,2,7,16,0.010742902755737305
2,2,7,18,0.011199617385864257
2,2,7,20,0.013048362731933594
2,2,7,22,0.013384485244750976
2,2,7,24,0.013862109184265137
2,2,7,26,0.011784744262695313
2,2,7,28,0.012959718704223633
2,2,7,30,0.014069914817810059
2,2,7,32,0.013311028480529785
2,2,7,34,0.014257526397705078
2,2,7,36,0.010682201385498047
2,2,7,38,0.011637258529663085
2,2,7,40,0.01260533332824707
2,2,8,2,0.01048572063446045
2,2,8,4,0.01087656021118164
2,2,8,6,0.01269519329071045
2,2,8,8,0.013755536079406739
2,2,8,10,0.01079418659210205
2,2,8,12,0.014538002014160157
2,2,8,14,0.015158987045288086
2,2,8,16,0.014826679229736328
2,2,8,18,0.012760019302368164
2,2,8,20,0.01605551242828369
2,2,8,22,0.011350417137145996
2,2,8,24,0.012370657920837403
2,2,8,26,0.011606407165527344
2,2,8,28,0.014400768280029296
2,2,8,30,0.01205604076385498
2,2,8,32,0.010997271537780762
2,2,8,34,0.012755393981933594
2,2,8,36,0.01183335781097412
2,2,8,38,0.01239173412322998
2,2,8,40,0.012454628944396973
2,3,0,1,0.006090831756591797
2,3,1,2,0.016177105903625488
2,3,1,4,0.01640763282775879
2,3,1,6,0.015256643295288086
2,3,1,8,0.017923259735107423
2,3,1,10,0.0174130916595459
2,3,1,12,0.016619133949279784
2,3,1,14,0.015510129928588866
2,3,1,16,0.017431426048278808
2,3,1,18,0.017592644691467284
2,3,1,20,0.016173362731933594
2,3,1,22,0.01821107864379883
2,3,1,24,0.017091989517211914
2,3,1,26,0.018948793411254883
